Description,Quantity,InvoiceDate,UnitPrice,Country,Revenue
WHITE HANGING HEART T-LIGHT HOLDER,6,12/1/2010 8:26,2.55,United Kingdom,15.3
WHITE METAL LANTERN,6,12/1/2010 8:26,3.39,United Kingdom,20.34
CREAM CUPID HEARTS COAT HANGER,8,12/1/2010 8:26,2.75,United Kingdom,22
KNITTED UNION FLAG HOT WATER BOTTLE,6,12/1/2010 8:26,3.39,United Kingdom,20.34
RED WOOLLY HOTTIE WHITE HEART.,6,12/1/2010 8:26,3.39,United Kingdom,20.34
SET 7 BABUSHKA NESTING BOXES,2,12/1/2010 8:26,7.65,United Kingdom,15.3
GLASS STAR FROSTED T-LIGHT HOLDER,6,12/1/2010 8:26,4.25,United Kingdom,25.5
HAND WARMER UNION JACK,6,12/1/2010 8:28,1.85,United Kingdom,11.1
HAND WARMER RED POLKA DOT,6,12/1/2010 8:28,1.85,United Kingdom,11.1
ASSORTED COLOUR BIRD ORNAMENT,32,12/1/2010 8:34,1.69,United Kingdom,54.08
POPPY'S PLAYHOUSE BEDROOM ,6,12/1/2010 8:34,2.1,United Kingdom,12.6
POPPY'S PLAYHOUSE KITCHEN,6,12/1/2010 8:34,2.1,United Kingdom,12.6
FELTCRAFT PRINCESS CHARLOTTE DOLL,8,12/1/2010 8:34,3.75,United Kingdom,30
IVORY KNITTED MUG COSY ,6,12/1/2010 8:34,1.65,United Kingdom,9.9
BOX OF 6 ASSORTED COLOUR TEASPOONS,6,12/1/2010 8:34,4.25,United Kingdom,25.5
BOX OF VINTAGE JIGSAW BLOCKS ,3,12/1/2010 8:34,4.95,United Kingdom,14.85
BOX OF VINTAGE ALPHABET BLOCKS,2,12/1/2010 8:34,9.95,United Kingdom,19.9
HOME BUILDING BLOCK WORD,3,12/1/2010 8:34,5.95,United Kingdom,17.85
LOVE BUILDING BLOCK WORD,3,12/1/2010 8:34,5.95,United Kingdom,17.85
RECIPE BOX WITH METAL HEART,4,12/1/2010 8:34,7.95,United Kingdom,31.8
DOORMAT NEW ENGLAND,4,12/1/2010 8:34,7.95,United Kingdom,31.8
JAM MAKING SET WITH JARS,6,12/1/2010 8:34,4.25,United Kingdom,25.5
RED COAT RACK PARIS FASHION,3,12/1/2010 8:34,4.95,United Kingdom,14.85
YELLOW COAT RACK PARIS FASHION,3,12/1/2010 8:34,4.95,United Kingdom,14.85
BLUE COAT RACK PARIS FASHION,3,12/1/2010 8:34,4.95,United Kingdom,14.85
BATH BUILDING BLOCK WORD,3,12/1/2010 8:35,5.95,United Kingdom,17.85
ALARM CLOCK BAKELIKE PINK,24,12/1/2010 8:45,3.75,France,90
ALARM CLOCK BAKELIKE RED ,24,12/1/2010 8:45,3.75,France,90
ALARM CLOCK BAKELIKE GREEN,12,12/1/2010 8:45,3.75,France,45
PANDA AND BUNNIES STICKER SHEET,12,12/1/2010 8:45,0.85,France,10.2
STARS GIFT TAPE ,24,12/1/2010 8:45,0.65,France,15.6
INFLATABLE POLITICAL GLOBE ,48,12/1/2010 8:45,0.85,France,40.8
VINTAGE HEADS AND TAILS CARD GAME ,24,12/1/2010 8:45,1.25,France,30
SET/2 RED RETROSPOT TEA TOWELS ,18,12/1/2010 8:45,2.95,France,53.1
ROUND SNACK BOXES SET OF4 WOODLAND ,24,12/1/2010 8:45,2.95,France,70.8
SPACEBOY LUNCH BOX ,24,12/1/2010 8:45,1.95,France,46.8
LUNCH BOX I LOVE LONDON,24,12/1/2010 8:45,1.95,France,46.8
CIRCUS PARADE LUNCH BOX ,24,12/1/2010 8:45,1.95,France,46.8
CHARLOTTE BAG DOLLY GIRL DESIGN,20,12/1/2010 8:45,0.85,France,17
RED TOADSTOOL LED NIGHT LIGHT,24,12/1/2010 8:45,1.65,France,39.6
 SET 2 TEA TOWELS I LOVE LONDON ,24,12/1/2010 8:45,2.95,France,70.8
VINTAGE SEASIDE JIGSAW PUZZLES,12,12/1/2010 8:45,3.75,France,45
MINI JIGSAW CIRCUS PARADE ,24,12/1/2010 8:45,0.42,France,10.08
MINI JIGSAW SPACEBOY,24,12/1/2010 8:45,0.42,France,10.08
MINI PAINT SET VINTAGE ,36,12/1/2010 8:45,0.65,France,23.4
POSTAGE,3,12/1/2010 8:45,18,France,54
PAPER CHAIN KIT 50'S CHRISTMAS ,80,12/1/2010 9:00,2.55,United Kingdom,204
HAND WARMER RED POLKA DOT,6,12/1/2010 9:01,1.85,United Kingdom,11.1
HAND WARMER UNION JACK,6,12/1/2010 9:01,1.85,United Kingdom,11.1
